threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,tn,fp,fn,tp,estimated_cost_brl
0.42,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8861333333333333,0.5824175824175825,0.23194748358862144,0.3317683881064163,3217,76,351,106,3548000.0
0.43,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8861333333333333,0.5872093023255814,0.2210065645514223,0.32114467408585057,3222,71,356,101,3595500.0
0.44,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8890666666666667,0.6305732484076433,0.21663019693654267,0.32247557003257327,3235,58,358,99,3609000.0
0.45,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8893333333333333,0.6363636363636364,0.21444201312910285,0.32078559738134205,3237,56,359,98,3618000.0
0.46,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8906666666666667,0.6690647482014388,0.20350109409190373,0.31208053691275167,3247,46,364,93,3663000.0
0.47,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8901333333333333,0.6691729323308271,0.19474835886214442,0.3016949152542373,3249,44,368,89,3702000.0
0.48,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8896,0.6692913385826772,0.18599562363238512,0.2910958904109589,3251,42,372,85,3741000.0
0.49,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8893333333333333,0.6721311475409836,0.17943107221006566,0.28324697754749567,3253,40,375,82,3770000.0
0.5,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8904,0.7017543859649122,0.175054704595186,0.28021015761821366,3259,34,377,80,3787000.0
0.51,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8888,0.6851851851851852,0.16192560175054704,0.26194690265486725,3259,34,383,74,3847000.0
0.52,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8888,0.6923076923076923,0.1575492341356674,0.25668449197860965,3261,32,385,72,3866000.0
0.53,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8885333333333333,0.693069306930693,0.15317286652078774,0.25089605734767023,3262,31,387,70,3885500.0
0.54,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8893333333333333,0.723404255319149,0.1487964989059081,0.24682395644283123,3267,26,389,68,3903000.0
0.55,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8877333333333334,0.7045454545454546,0.13566739606126915,0.22752293577981653,3267,26,395,62,3963000.0
0.56,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8872,0.7073170731707317,0.12691466083150985,0.21521335807050093,3269,24,399,58,4002000.0
0.57,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8872,0.7125,0.12472647702407003,0.2122905027932961,3270,23,400,57,4011500.0
0.58,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8866666666666667,0.7105263157894737,0.11816192560175055,0.2026266416510319,3271,22,403,54,4041000.0
0.59,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8853333333333333,0.6901408450704225,0.10722100656455143,0.1856060606060606,3271,22,408,49,4091000.0
0.6,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8837333333333334,0.6615384615384615,0.09409190371991247,0.16475095785440613,3271,22,414,43,4151000.0
0.61,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8824,0.6428571428571429,0.0787746170678337,0.14035087719298245,3273,20,421,36,4220000.0
0.62,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8826666666666667,0.660377358490566,0.07658643326039387,0.13725490196078433,3275,18,422,35,4229000.0
0.63,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8824,0.6739130434782609,0.06783369803063458,0.12326043737574553,3278,15,426,31,4267500.0
0.64,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8821333333333333,0.6744186046511628,0.06345733041575492,0.116,3279,14,428,29,4287000.0
0.65,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8818666666666667,0.6666666666666666,0.061269146608315096,0.11222444889779559,3279,14,429,28,4297000.0
0.66,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8813333333333333,0.65,0.05689277899343545,0.10462776659959759,3279,14,431,26,4317000.0
0.67,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8805333333333333,0.6216216216216216,0.05032822757111598,0.0931174089068826,3279,14,434,23,4347000.0
0.68,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8805333333333333,0.6285714285714286,0.04814004376367615,0.08943089430894309,3280,13,435,22,4356500.0
0.69,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.88,0.6206896551724138,0.03938730853391685,0.07407407407407407,3282,11,439,18,4395500.0
0.7,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.88,0.64,0.0350109409190372,0.06639004149377593,3284,9,441,16,4414500.0
0.71,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8802666666666666,0.6818181818181818,0.03282275711159737,0.06263048016701461,3286,7,442,15,4423500.0
0.72,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8802666666666666,0.75,0.0262582056892779,0.0507399577167019,3289,4,445,12,4452000.0
0.73,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.88,0.7333333333333333,0.024070021881838075,0.046610169491525424,3289,4,446,11,4462000.0
0.74,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.88,0.7333333333333333,0.024070021881838075,0.046610169491525424,3289,4,446,11,4462000.0
0.75,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.88,0.7692307692307693,0.02188183807439825,0.0425531914893617,3290,3,447,10,4471500.0
0.76,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8797333333333334,0.75,0.019693654266958426,0.03837953091684435,3290,3,448,9,4481500.0
0.77,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8792,0.7,0.015317286652078774,0.029978586723768737,3290,3,450,7,4501500.0
0.78,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8794666666666666,0.8571428571428571,0.01312910284463895,0.02586206896551724,3292,1,451,6,4510500.0
0.79,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8792,0.8333333333333334,0.010940919037199124,0.02159827213822894,3292,1,452,5,4520500.0
0.8,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8786666666666667,0.75,0.006564551422319475,0.013015184381778741,3292,1,454,3,4540500.0
